iter	Passed	Remaining
698	1831	1836
699	1833	1833
700	1836	1831
701	1839	1828
702	1841	1826
703	1844	1823
704	1846	1820
705	1849	1818
706	1853	1816
707	1856	1814
708	1858	1811
709	1861	1808
710	1863	1806
711	1866	1803
712	1868	1800
713	1871	1798
714	1874	1795
715	1876	1792
716	1878	1789
717	1881	1787
718	1884	1784
719	1886	1781
720	1889	1779
721	1891	1776
722	1894	1773
723	1896	1771
724	1899	1768
725	1902	1766
726	1904	1763
727	1906	1760
728	1909	1757
729	1912	1755
730	1914	1752
731	1917	1749
732	1920	1747
733	1923	1745
734	1926	1742
735	1928	1740
736	1931	1737
737	1933	1734
738	1936	1732
739	1939	1729
740	1941	1726
741	1944	1724
742	1946	1721
743	1949	1719
744	1952	1716
745	1954	1713
746	1957	1711
747	1960	1708
748	1963	1706
749	1965	1703
750	1969	1702
751	1972	1699
752	1974	1696
753	1977	1694
754	1979	1691
755	1982	1688
756	1985	1686
757	1987	1683
758	1990	1680
759	1993	1678
760	1995	1675
761	1998	1673
762	2000	1670
763	2003	1668
764	2006	1665
765	2008	1662
766	2011	1660
767	2015	1658
768	2017	1655
769	2020	1652
770	2022	1650
771	2025	1647
772	2027	1644
773	2030	1641
774	2032	1639
775	2034	1636
776	2037	1633
777	2040	1631
778	2042	1628
779	2045	1625
780	2047	1623
781	2050	1620
782	2053	1617
783	2056	1615
784	2058	1612
785	2061	1610
786	2063	1607
787	2067	1605
788	2070	1603
789	2074	1601
790	2076	1598
791	2079	1596
792	2081	1593
793	2084	1590
794	2087	1588
795	2089	1585
796	2092	1583
797	2095	1580
798	2097	1577
799	2100	1575
800	2102	1572
801	2105	1569
802	2107	1567
803	2110	1564
804	2114	1563
805	2118	1561
806	2120	1558
807	2123	1555
808	2125	1552
809	2128	1550
810	2130	1547
811	2132	1544
812	2135	1541
813	2138	1539
814	2140	1536
815	2143	1534
816	2146	1531
817	2148	1528
818	2151	1526
819	2153	1523
820	2156	1520
821	2159	1518
822	2161	1515
823	2164	1512
824	2166	1509
825	2169	1507
826	2171	1504
827	2174	1502
828	2176	1499
829	2179	1496
830	2182	1494
831	2184	1491
832	2188	1489
833	2190	1486
834	2194	1485
835	2197	1482
836	2199	1479
837	2201	1476
838	2204	1474
839	2206	1471
840	2210	1469
841	2212	1466
842	2215	1463
843	2217	1460
844	2220	1458
845	2222	1455
846	2225	1452
847	2227	1450
848	2230	1447
849	2233	1445
850	2235	1442
851	2238	1439
852	2240	1436
853	2243	1434
854	2247	1432
855	2250	1430
856	2253	1427
857	2256	1425
858	2258	1422
859	2260	1419
860	2263	1416
861	2265	1413
862	2267	1411
863	2269	1407
864	2271	1404
865	2273	1401
866	2276	1399
867	2278	1396
868	2281	1393
869	2283	1391
870	2286	1388
871	2289	1386
872	2291	1383
873	2294	1380
874	2296	1377
875	2299	1375
876	2301	1372
877	2304	1369
878	2307	1367
879	2309	1364
880	2312	1362
881	2314	1359
882	2316	1356
883	2319	1353
884	2321	1351
885	2324	1348
886	2327	1345
887	2329	1343
888	2332	1340
889	2334	1337
890	2337	1335
891	2339	1332
892	2341	1329
893	2344	1326
894	2346	1324
895	2350	1321
896	2352	1319
897	2355	1316
898	2358	1314
899	2360	1311
900	2363	1308
901	2365	1306
902	2368	1303
903	2371	1301
904	2373	1298
905	2376	1295
906	2378	1293
907	2382	1290
908	2384	1288
909	2387	1285
910	2390	1282
911	2392	1280
912	2395	1277
913	2397	1275
914	2402	1273
915	2404	1270
916	2406	1267
917	2409	1265
918	2412	1262
919	2415	1260
920	2417	1257
921	2419	1254
922	2422	1252
923	2425	1249
924	2427	1246
925	2430	1244
926	2433	1241
927	2435	1238
928	2438	1236
929	2441	1233
930	2443	1231
931	2446	1228
932	2449	1225
933	2451	1223
934	2455	1221
935	2457	1218
936	2460	1215
937	2463	1213
938	2465	1210
939	2467	1207
940	2472	1205
941	2474	1203
942	2477	1200
943	2480	1198
944	2482	1195
945	2485	1192
946	2487	1190
947	2490	1187
948	2492	1184
949	2495	1181
950	2498	1179
951	2501	1176
952	2503	1174
953	2506	1171
954	2508	1169
955	2511	1166
956	2514	1163
957	2516	1161
958	2519	1158
959	2521	1155
960	2524	1153
961	2526	1150
962	2529	1147
963	2531	1144
964	2534	1142
965	2536	1139
966	2539	1136
967	2541	1134
968	2544	1131
969	2546	1128
970	2549	1126
971	2552	1123
972	2554	1121
973	2557	1118
974	2559	1115
975	2562	1113
976	2564	1110
977	2567	1107
978	2570	1105
979	2572	1102
980	2575	1099
981	2578	1097
982	2580	1094
983	2584	1092
984	2586	1089
985	2589	1087
986	2592	1084
987	2594	1082
988	2597	1079
989	2600	1076
990	2602	1074
991	2605	1071
992	2607	1068
993	2610	1066
994	2613	1063
995	2615	1060
996	2619	1058
997	2621	1055
998	2624	1053
999	2626	1050
1000	2628	1047
1001	2631	1045
1002	2633	1042
1003	2636	1039
1004	2638	1037
1005	2641	1034
1006	2643	1031
1007	2646	1029
1008	2648	1026
1009	2651	1023
1010	2654	1021
1011	2656	1018
1012	2659	1016
1013	2662	1013
1014	2664	1010
1015	2667	1008
1016	2670	1005
1017	2673	1003
1018	2675	1000
1019	2678	997
1020	2681	995
1021	2684	992
1022	2686	990
1023	2689	987
1024	2691	984
1025	2694	982
